Word; Meaning; Example; Image; Sound; SoundMeaning; SoundExample; PartOfSpeach; Number; Amount; 
the; denoting one or more people or things already mentioned or assumed to be common knowledge; what's the matter?; the-det.jpg; the-det.mp3; the-det-meaning.mp3; the-det-example.mp3; determiner; 1; 6187267; 
be; exist; occur; there must be a solution; be-v.jpg; be-v.mp3; be-v-meaning.mp3; be-v-example.mp3; verb; 2; 4239632; 
of; expressing the relationship between a part and a whole; a piece of cake; of-prep.jpg; of-prep.mp3; of-prep-meaning.mp3; of-prep-example.mp3; preposition; 3; 3093444; 
and; used to connect words or clauses; apples and oranges; and-conj.jpg; and-conj.mp3; and-conj-meaning.mp3; and-conj-example.mp3; conjunction; 4; 2687863; 
a; used before nouns to refer to a single nonspecific thing; a cat; a-det.jpg; a-det.mp3; a-det-meaning.mp3; a-det-example.mp3; determiner; 5; 2186369; 
in; expressing inclusion or position within limits; in the room; in-prep.jpg; in-prep.mp3; in-prep-meaning.mp3; in-prep-example.mp3; preposition; 6; 1924315; 
to; used before a verb to form the infinitive; to run; to-infinitive-marker.jpg; to-infinitive-marker.mp3; to-infinitive-marker-meaning.mp3; to-infinitive-marker-example.mp3; infinitive marker; 7; 1620850; 
have; possess, own, or hold; I have a car; have-v.jpg; have-v.mp3; have-v-meaning.mp3; have-v-example.mp3; verb; 8; 1375636; 
it; used to refer to a thing previously mentioned; it is raining; it-pron.jpg; it-pron.mp3; it-pron-meaning.mp3; it-pron-example.mp3; pronoun; 9; 1090186; 
to; in the direction of; go to school; to-prep.jpg; to-prep.mp3; to-prep-meaning.mp3; to-prep-example.mp3; preposition; 10; 1039323; 
for; indicating purpose or reason; a gift for you; for-prep.jpg; for-prep.mp3; for-prep-meaning.mp3; for-prep-example.mp3; preposition; 11; 887877; 
i; first-person singular pronoun; I am happy; i-pron.jpg; i-pron.mp3; i-pron-meaning.mp3; i-pron-example.mp3; pronoun; 12; 884599; 
that; introducing a subordinate clause; she said that she was tired; that-conj.jpg; that-conj.mp3; that-conj-meaning.mp3; that-conj-example.mp3; conjunction; 13; 760399; 
